[22/06 13:59:03] Captura parada. Reabrindo a versao PowerShell...
[22/06 13:59:03] Captura (PowerShell) reaberta.
[22/06 14:04:03] Captura parada. Reabrindo a versao PowerShell...
[22/06 14:04:03] Captura (PowerShell) reaberta.
[22/06 14:09:03] Captura parada. Reabrindo a versao PowerShell...
[22/06 14:09:03] Captura (PowerShell) reaberta.
[22/06 14:14:03] Captura parada. Reabrindo a versao PowerShell...
[22/06 14:14:04] Captura (PowerShell) reaberta.
[22/06 14:19:04] Captura parada. Reabrindo a versao PowerShell...
[22/06 14:19:04] Captura (PowerShell) reaberta.
[22/06 14:24:03] Captura parada. Reabrindo a versao PowerShell...
[22/06 14:24:04] Captura (PowerShell) reaberta.
[22/06 14:29:03] Captura parada. Reabrindo a versao PowerShell...
[22/06 14:29:04] Captura (PowerShell) reaberta.
[22/06 14:34:04] Captura parada. Reabrindo a versao PowerShell...
[22/06 14:34:04] Captura (PowerShell) reaberta.
[22/06 14:39:03] Captura parada. Reabrindo a versao PowerShell...
[22/06 14:39:04] Captura (PowerShell) reaberta.
[22/06 14:44:04] Captura parada. Reabrindo a versao PowerShell...
[22/06 14:44:04] Captura (PowerShell) reaberta.
